fileName,sport,startTime,totalDistance,totalTimerTime,avgHeartRate,maxHeartRate,avgCadence,avgSpeed,maxSpeed,totalAscent,totalDescent,startLatitude,startLongitude,endLatitude,endLongitude,recordCount,gpxFile
2025-04-27-07-20-18.fit,HIKING,2005-04-28T07:20:18-07:00,33654.55859375,36566.13671875,130,172,20,,,1050.0,950.0,32.596583822742105,-116.46682091988623,32.6858286280185,-116.51757074519992,8612,gpx/2025-04-27-07-20-18.gpx
2025-04-28-07-55-03.fit,HIKING,2005-04-29T07:55:03-07:00,28186.30078125,34644.1328125,129,166,17,,,1143.0,417.0,32.68512706272304,-116.51685090735555,32.81786338426173,-116.41466729342937,7330,gpx/2025-04-28-07-55-03.gpx
2025-04-29-06-51-33.fit,HIKING,2005-04-30T06:51:33-07:00,7923.580078125,10493.9853515625,113,149,19,,,247.0,97.0,32.818201845511794,-116.41470082104206,32.86203660070896,-116.42000262625515,2128,gpx/2025-04-29-06-51-33.gpx
2025-04-29-12-35-28.fit,HIKING,2005-04-30T12:35:28-07:00,16871.900390625,18573.205078125,123,153,18,,,322.0,518.0,32.86780661903322,-116.41870359890163,32.92469090782106,-116.48153576999903,3915,gpx/2025-04-29-12-35-28.gpx
2025-04-30-07-17-26.fit,HIKING,2005-05-01T07:17:26-07:00,15798.2197265625,14952.62109375,120,153,22,,,306.0,488.0,32.92583495378494,-116.48209190927446,33.01038480363786,-116.53762159869075,3291,gpx/2025-04-30-07-17-26.gpx
2025-04-30-12-04-25.fit,HIKING,2005-05-01T12:04:25-07:00,9539.6796875,8716.208984375,130,164,20,,,181.0,496.0,33.01099802367389,-116.53818896971643,33.050570748746395,-116.52382381260395,2134,gpx/2025-04-30-12-04-25.gpx
2025-04-30-16-04-39.fit,HIKING,2005-05-01T16:04:39-07:00,7428.64013671875,6826.98876953125,131,155,23,,,172.0,350.0,33.05098925717175,-116.52357428334653,33.06612806394696,-116.48259063251317,1728,gpx/2025-04-30-16-04-39.gpx
2025-05-01-06-26-52.fit,HIKING,2005-05-02T06:26:52-07:00,6681.43017578125,5159.373046875,116,141,40,,,47.0,293.0,33.06661547161639,-116.48222140967846,33.0990176461637,-116.46996421739459,1183,gpx/2025-05-01-06-26-52.gpx
2025-05-02-09-34-04.fit,HIKING,2005-05-03T09:34:04-07:00,28258.26953125,26526.408203125,134,167,19,,,911.0,296.0,33.098409455269575,-116.47191787138581,33.180737094953656,-116.55832749791443,6516,gpx/2025-05-02-09-34-04.gpx
2025-05-03-06-25-16.fit,HIKING,2005-05-04T06:25:16-07:00,29415.080078125,27801.28515625,116,147,24,,,415.0,818.0,33.180930968374014,-116.55807419680059,33.29516088590026,-116.63939198479056,6369,gpx/2025-05-03-06-25-16.gpx
2025-05-04-07-58-26.fit,HIKING,2005-05-05T07:58:26-07:00,23388.0,21581.599609375,123,154,19,,,995.0,367.0,33.2950568664819,-116.63916064426303,33.38112107478082,-116.590577038005,5355,gpx/2025-05-04-07-58-26.gpx
2025-05-04-14-35-18.fit,HIKING,2005-05-05T14:35:18-07:00,7720.02978515625,8898.478515625,117,145,15,,,211.0,308.0,33.381190560758114,-116.59045860171318,33.41521848924458,-116.60773278214037,2049,gpx/2025-05-04-14-35-18.gpx
2025-05-05-07-28-06.fit,HIKING,2005-05-06T07:28:06-07:00,23252.390625,19356.171875,121,151,27,,,551.0,720.0,33.41531085781753,-116.60797560587525,33.51107996888459,-116.59628603607416,5080,gpx/2025-05-05-07-28-06.gpx
2025-05-06-06-51-15.fit,HIKING,2005-05-07T06:51:15-07:00,13364.1298828125,10040.7373046875,124,153,32,,,447.0,261.0,33.51116839796305,-116.59608864225447,33.56903336942196,-116.5913604106754,2607,gpx/2025-05-06-06-51-15.gpx
2025-05-07-12-26-55.fit,HIKING,2005-05-08T12:26:55-07:00,18849.939453125,17125.53125,124,160,22,,,835.0,409.0,33.563810186460614,-116.57701679505408,33.677039137110114,-116.57618807628751,4586,gpx/2025-05-07-12-26-55.gpx
2025-05-08-07-22-42.fit,HIKING,2005-05-09T07:22:42-07:00,25772.6796875,25906.908203125,131,164,16,,,1417.0,886.0,33.67661090567708,-116.57632428221405,33.76089940778911,-116.66526423767209,7134,gpx/2025-05-08-07-22-42.gpx
2025-05-09-06-50-37.fit,HIKING,2005-05-10T06:50:37-07:00,22624.189453125,26949.86328125,123,155,14,,,1113.0,1164.0,33.76181613653898,-116.66508377529681,33.83957211859524,-116.73618611879647,7228,gpx/2025-05-09-06-50-37.gpx
2025-05-10-06-01-59.fit,HIKING,2005-05-11T06:01:59-07:00,25442.490234375,21082.888671875,119,149,30,,,51.0,1875.0,33.83993664756417,-116.73660680651665,33.88039106503129,-116.67886722832918,5793,gpx/2025-05-10-06-01-59.gpx
2025-05-10-17-04-21.fit,HIKING,2005-05-11T17:04:21-07:00,3260.1298828125,2766.98291015625,134,149,23,,,154.0,11.0,33.925711596384645,-116.69488730840385,33.94785599783063,-116.69202212244272,688,gpx/2025-05-10-17-04-21.gpx
2025-05-11-05-57-50.fit,HIKING,2005-05-12T05:57:50-07:00,1496.510009765625,1040.43505859375,116,143,39,,,34.0,34.0,33.94787619821727,-116.69201902113855,33.94796253181994,-116.69212806969881,293,gpx/2025-05-11-05-57-50.gpx
2025-05-11-06-15-46.fit,HIKING,2005-05-12T06:15:46-07:00,26850.0,24708.9296875,121,158,24,,,1291.0,754.0,33.94794451072812,-116.69163680635393,34.059332460165024,-116.67371009476483,6724,gpx/2025-05-11-06-15-46.gpx
2025-05-12-07-00-19.fit,HIKING,2005-05-13T07:00:19-07:00,21255.30078125,22684.8671875,124,151,12,,,1557.0,179.0,34.05949397943914,-116.67362367734313,34.13351783528924,-116.75235137343407,6172,gpx/2025-05-12-07-00-19.gpx
2025-05-13-08-19-37.fit,HIKING,2005-05-14T08:19:37-07:00,28850.5703125,23515.8671875,114,142,23,,,774.0,1063.0,34.134033154696226,-116.75170068629086,34.24241669476032,-116.75462286919355,6155,gpx/2025-05-13-08-19-37.gpx
2025-05-13-16-47-16.fit,HIKING,2005-05-14T16:47:16-07:00,10640.5400390625,7109.009765625,123,152,45,,,210.0,308.0,34.242617106065154,-116.75460895523429,34.290976244956255,-116.80269467644393,1866,gpx/2025-05-13-16-47-16.gpx
2025-05-16-07-29-00.fit,HIKING,2005-05-17T07:29:00-07:00,35617.51953125,30411.69921875,113,140,23,,,758.0,878.0,34.29082151502371,-116.80256584659219,34.28347343578935,-117.00803705491126,7249,gpx/2025-05-16-07-29-00.gpx
2025-05-17-06-55-59.fit,HIKING,2005-05-18T06:55:59-07:00,31079.310546875,25847.55078125,108,145,27,,,521.0,1411.0,34.28354878909886,-117.00816278345883,34.3403485044837,-117.17698344960809,6751,gpx/2025-05-17-06-55-59.gpx
2025-05-18-07-18-23.fit,HIKING,2005-05-19T07:18:23-07:00,35131.2109375,33938.51171875,113,150,26,,,778.0,823.0,34.339793203398585,-117.17658556066453,34.28385749459267,-117.3451033886522,7584,gpx/2025-05-18-07-18-23.gpx
2025-05-19-06-55-24.fit,HIKING,2005-05-20T06:55:24-07:00,32314.80078125,28163.375,112,148,24,,,871.0,836.0,34.28382505662739,-117.34586304053664,34.29690510034561,-117.50704410485923,6918,gpx/2025-05-19-06-55-24.gpx
2025-05-21-10-25-41.fit,HIKING,2005-05-22T10:25:41-07:00,15896.2099609375,13968.6220703125,135,166,22,,,1048.0,774.0,34.372970620170236,-117.75221418589354,34.347266759723425,-117.83124153502285,4316,gpx/2025-05-21-10-25-41.gpx
